label,value,percentage
Data Scientist,2676,0.4137291280148423
Data Analyst,1475,0.22804576376004948
Machine Learning Engineer,1082,0.16728509585652443
Big Data Engineer,798,0.12337662337662338
Data Engineer,437,0.06756338899196042
